Key,en,de,es,fr,ja,ru,zh-cn,zh-tw
Aurasettings,--- Aura Settings ---,--- Aura-Einstellungen ---,--- Ajustes de Aura ---,--- Paramètres d'Aura ---,--- オーラ設定 ---,--- Настройки ауры ---,--- 光晕设置 ---,--- 光暈設置 ---
Auras,--- Auras ---,--- Auras ---,--- Auras ---,--- Auras ---,--- オーラ ---,--- Ауры ---,--- 光晕 ---,--- 光暈 ---
Labels,--- Labels ---,--- Labels ---,--- Etiquetas ---,--- Étiquettes ---,--- ラベル ---,--- Метки ---,--- 标签 ---,--- 標籤 ---
PathGuide,--- Path Guide ---,--- Pfadführung ---,--- Guía de Camino ---,--- Guide de chemin ---,--- パスガイド ---,--- Путеводитель ---,--- 路径引导 ---,--- 路徑引導 ---
Spawning,--- Spawning ---,--- Spawnen ---,--- Spawning ---,--- Apparition ---,--- スポーン ---,--- Спавн ---,--- 生成 ---,--- 生成 ---
AddAllItemsToDesk,Add all Items to desk,Alle Gegenstände auf den Tisch legen,Poner todos los objetos en la mesa,Mettre tous les objets sur le bureau,すべてのアイテムを机に置く,Положить все предметы на стол,将所有物品放到桌上,將所有物品放到桌上
AlwaysName,AlwaysName,Namen immer anzeigen,Siempre nombre,Toujours le nom,常に名前を表示,Всегда имя,始终显示名字,始終顯示名字
AntiQuickSand,AntiQuickSand,Anti-Treibsand,Anti-Arena movediza,Anti-sables mouvants,流砂防止,Анти-зыбучий песок,防流沙,防流沙
AttackPlayers,Attack Players,Spieler angreifen,Atacar jugadores,Attaquer les joueurs,プレイヤーを攻撃,Атаковать игроков,攻击玩家,攻擊玩家
AutoStart,AutoStart,Auto-Start,Inicio automático,Démarrage auto,自動開始,Автостарт,自动开始,自動開始
AutoStartOnline,AutoStartOnline,Auto-Start online,Inicio automático en línea,Démarrage auto en ligne,オンライン自動開始,Автостарт онлайн,自动开始在线,自動開始在線
BreakLegsSfx,BreakLegs sfx,Beine brechen SFX,SFX romper piernas,SFX jambes cassées,足が折れる音,Звук перелома ног,断腿音效,斷腿音效
Cameras,Cameras,Kameras,Cámaras,Caméras,カメラ,Камеры,摄像头,攝像頭
CanBridgeFall,CanBridgeFall,Brücke kann einstürzen,El puente puede caer,Le pont peut tomber,橋が落ちる可能性あり,Мост может упасть,桥会塌,橋會塌
ChatAs,Chat As,Chatten als,Chatear como,Discuter comme,としてチャット,Чат от имени,以此身份聊天,以此身份聊天
CoHost,CoHost,Co-Host,Co-Anfitrión,Co-Hôte,共同ホスト,Со-хост,副房主,副房主
Company,Company,Firma,Compañía,Entreprise,会社,Компания,公司,公司
CustomInteraction,CustomInteraction,Benutzerinteraktion,Interacción personalizada,Interaction personnalisée,カスタムインタラクション,Пользовательское взаимодействие,自定义交互,自定義交互
CyclePlanet,Cycle Planet,Planet wechseln,Ciclo de planeta,Changer de planète,惑星を切り替える,Сменить планету,切换星球,切換星球
Damage,Damage,Schaden,Daño,Dégâts,ダメージ,Урон,伤害,傷害
Delete,Delete,Löschen,Borrar,Supprimer,削除,Удалить,删除,刪除
DespawnObjects,Despawn Objects,Objekte entfernen,Desaparecer objetos,Supprimer les objets,オブジェクトを消去,Удалить объекты,清除物体,清除物體
DisableJetpack,Disable jetpack,Jetpack deaktivieren,Desactivar jetpack,Désactiver le jetpack,ジェットパック無効化,Отключить джетпак,禁用喷气背包,禁用噴氣背包
DisableTurret,DisableTurret,Geschütz deaktivieren,Desactivar torreta,Désactiver la tourelle,タレット無効化,Отключить турель,禁用炮塔,禁用炮塔
DisableTurrets,DisableTurrets,Geschütze deaktivieren,Desactivar torretas,Désactiver les tourelles,タレット無効化（複数）,Отключить турели,禁用所有炮塔,禁用所有炮塔
DoorsLabel,Doors Label,Tür-Label,Etiqueta de puertas,Étiquette des portes,ドアラベル,Метка дверей,门标签,門標籤
DropAll,Drop All,Alles fallen lassen,Soltar todo,Tout lâcher,すべて落とす,Выбросить всё,丢弃所有,丟棄所有
EjectAll,Eject All,Alle auswerfen,Expulsar a todos,Éjecter tout,すべて排出,Выбросить всех,弹出所有,彈出所有
Emoji,emoji,emoji,emoji,emoji,絵文字,эмодзи,表情符号,表情符號
EnablePathGuide,Enable Path Guide,Pfadführung aktivieren,Activar guía de camino,Activer le guide de chemin,パスガイド有効化,Включить путеводитель,启用路径引导,啟用路徑引導
EnableTurret,EnableTurret,Geschütz aktivieren,Activar torreta,Activer la tourelle,タレット有効化,Включить турель,启用炮塔,啟用炮塔
EndMatchAs,End Match as,Match beenden als,Terminar partida como,Terminer le match comme,として試合終了,Завершить матч как,以此身份结束比赛,以此身份結束比賽
EnemiesTarget,Enemies Target,Ziel der Feinde,Objetivo de enemigos,Cible des ennemis,敵のターゲット,Цель врагов,敌人目标,敵人目標
EnemyAuras,Enemy Auras,Feind-Auras,Auras de enemigos,Auras ennemis,敵のオーラ,Ауры врагов,敌人光晕,敵人光暈
EnemyLabel,Enemy Label,Feind-Label,Etiqueta de enemigo,Étiquette ennemie,敵ラベル,Метка врага,敌人标签,敵人標籤
ESP,ESP,ESP,ESP,ESP,ESP,ВХ,透视,透視
ExplodeLandMine,ExplodeLandMine,Landmine sprengen,Explotar mina terrestre,Exploser mine terrestre,地雷を爆発させる,Взорвать мину,引爆地雷,引爆地雷
ExplodeMine,ExplodeMine,Mine sprengen,Explotar mina,Exploser la mine,ミヌを爆発させる,Взорвать мину,引爆炸弹,引爆炸彈
FactoryLights,FactoryLights,Fabrik-Lichter,Luces de fábrica,Lumières d'usine,工場の照明,Свет на фабрике,工厂灯光,工廠燈光
FastClimb,FastClimb,Schnelles Klettern,Escalada rápida,Escalade rapide,高速クライミング,Быстрый подъем,快速攀爬,快速攀爬
FixSteam,Fix steam,Steam reparieren,Reparar Steam,Réparer Steam,Steamを修復,Починить Steam,修复Steam,修復Steam
FlickerLights,Flicker Lights,Lichter flackern,Luces parpadeantes,Lumières vacillantes,ライトを点滅させる,Мигание светом,灯光闪烁,燈光閃爍
ForceEnd,ForceEnd,Erzwinge Ende,Forzar fin,Forcer la fin,強制終了,Принудительное завершение,强制结束,強制結束
ForceStart,ForceStart,Erzwinge Start,Forzar inicio,Forcer le démarrage,強制開始,Принудительный старт,强制开始,強制開始
FreeCam,FreeCam,Freie Kamera,Cámara libre,Caméra libre,フリーカメラ,Свободная камера,自由视角,自由視角
FriendsGodmode,Friends Godmode,Godmode für Freunde,Modo Dios para amigos,Mode Dieu amis,フレンドゴッドモード,Режим бога для друзей,队友无敌,隊友無敵
GodMode,GodMode,GodMode,Modo Dios,Mode Dieu,ゴッドモード,Режим бога,无敌模式,無敵模式
GrabDistance,GrabDistance,Greifdistanz,Distancia de agarre,Distance de préhension,掴み距離,Дистанция захвата,抓取距离,抓取距離
GrabInLobby,GrabInLobby,Im Lobby greifen,Agarrar en lobby,Saisir dans le lobby,ロビーで掴む,Хватать в лобби,在大厅抓取,在大廳抓取
HangerDoor,HangerDoor,Hangartor,Puerta del hangar,Porte du hangar,ハンガードア,Дверь ангара,机库门,機庫門
Harvest,Harvest,Ernten,Cosechar,Moisson,収穫,Сбор,收获,收穫
Heal,Heal,Heilen,Curar,Soigner,回復,Лечить,治疗,治療
HearAll,HearAll,Alles hören,Oír todo,Tout entendre,すべて聞く,Слышать всех,收听所有,收聽所有
HideFog,HideFog,Nebel ausblenden,Ocultar niebla,Masquer le brouillard,霧を隠す,Скрыть туман,隐藏雾气,隱藏霧氣
Host,Host,Host,Anfitrión,Hôte,ホスト,Хост,房主,房主
InfAmmo,InfAmmo,Unendliche Munition,Munición infinita,Munitions infinies,無限弾薬,Беск. патроны,无限弹药,無限彈藥
InfBattery,InfBattery,Unendlicher Akku,Batería infinita,Batterie infinie,無限バッテリー,Беск. батарея,无限电池,無限電池
InfSprint,InfSprint,Unendlicher Sprint,Sprint infinito,Sprint infini,無限スプリント,Беск. спринт,无限耐力,無限耐力
InfTet,InfTet,Unendliche Energie,Energía infinita,Énergie infinie,無限エネルギー,Беск. энергия,无限能量,無限能量
InsideAmbience,insideAmbience,Innen-Ambiente,Ambiente interior,Ambiance intérieure,室内アンビエンス,Внутренний эмбиент,室内氛围音,室內氛圍音
InsideAmbienceInsanity,insideAmbienceInsanity,Innen-Ambiente (Wahnsinn),Ambiente interior (Locura),Ambiance intérieure (Folie),室内アンビエンス（狂気）,Внутренний эмбиент (безумие),室内氛围音（疯狂）,室內氛圍音（瘋狂）
IsTargetable,IsTargetable,Kann anvisiert werden,Es seleccionable,Est ciblable,ターゲット可能,Можно выбрать целью,可被锁定,可被鎖定
ItemAuras,Item Auras,Item-Auras,Auras de objetos,Auras d'objets,アイテムのオーラ,Ауры предметов,物品光晕,物品光暈
ItemLabel,Item Label,Item-Label,Etiqueta de objeto,Étiquette d'objet,アイテムラベル,Метка предмета,物品标签,物品標籤
JumpSfx,Jump sfx,Sprung-SFX,SFX de salto,SFX de saut,ジャンプ音,Звук прыжка,跳跃音效,跳躍音效
Kill,kill,Töten,Matar,Tuer,殺す,Убить,击杀,擊殺
KillAllMobs,Kill All Mobs,Alle Gegner töten,Matar a todos los mobs,Tuer tous les monstres,全モブ殺害,Убить всех мобов,击杀所有生物,擊殺所有生物
KillEnemy,KillEnemy,Gegner töten,Matar enemigo,Tuer l'ennemi,敵を殺す,Убить врага,击杀敌人,擊殺敵人
LandFromJumpSfx,LandFromJump sfx,Landes-SFX,SFX aterrizaje de salto,SFX atterrissage,着地音,Звук приземления,落地音效,落地音效
LightningStrike,Lightning strike,Blitzschlag,Impacto de rayo,Coup de foudre,落雷,Удар молнии,雷击,雷擊
LockPicker,LockPicker,Dietrich,Ganzúa,Crochet,ロックピッカー,Отмычка,开锁器,開鎖器
